county_fips,county_name,total_pop,median_income,poverty_rate,unemployment_rate,pct_nh_white,pct_nh_black,pct_hispanic
17051,"Fayette County, Illinois",21565,46650,17.229916897506925,5.654281098546042,92.1307674472525,4.669603524229075,1.8687688383955483
17107,"Logan County, Illinois",29003,57308,9.299811841947236,5.60619872379216,86.36692755921801,6.840671654656415,3.3962003930627866
17165,"Saline County, Illinois",23994,44090,21.062513334755707,7.613360701623437,91.5103775943986,2.6339918312911563,1.7837792781528716
17097,"Lake County, Illinois",701473,89427,7.9334080779761065,5.213543307934917,61.636157058076364,6.546652544003832,21.688789162234325
17127,"Massac County, Illinois",14219,47481,16.748095990803275,4.393553859202714,88.24108587101765,5.837260004219706,2.946761375624165
17017,"Cass County, Illinois",12493,52373,14.775768388614063,6.476846057571965,75.4822700712399,4.306411590490675,18.906587689105898
18069,"Huntington County, Indiana",36359,53632,10.900921527102055,2.782717857516477,94.77433372755026,0.8993646689952969,2.458813498721087
18181,"White County, Indiana",24149,54576,9.234906096382504,3.958120531154239,89.32875067290571,0.47206923682140045,8.368876558035529
18075,"Jay County, Indiana",20840,47658,14.1001221001221,3.7630104083266613,94.88003838771593,0.3646833013435701,3.1046065259117084
18145,"Shelby County, Indiana",44438,60404,11.25677289007255,3.557946804356315,92.2768801476214,1.1679193483055044,4.214861154867456
18153,"Sullivan County, Indiana",20730,50245,12.00217332246672,4.8721071863581,91.9247467438495,3.878437047756874,1.7366136034732271
18157,"Tippecanoe County, Indiana",191553,53130,18.717800306022454,4.085772526667854,75.82862184356287,5.194906892609356,8.325633114594917
18057,"Hamilton County, Indiana",323117,98173,4.577642420732049,2.7534298244132565,83.66969240244246,3.8948739930118195,4.001027491589734
18005,"Bartholomew County, Indiana",82481,63431,13.350135234816818,4.217657863975763,81.48543300881416,1.5361113468556395,6.755495204956293
18049,"Fulton County, Indiana",20096,52034,12.40349451442503,4.248768472906404,91.75955414012739,0.9255573248407644,5.2000398089171975
18113,"Noble County, Indiana",47506,56789,7.439725938853338,3.9456066945606696,87.06268681850713,0.4799393760788111,10.289226624005389
18019,"Clark County, Indiana",116507,55630,10.075760220647279,4.875657658246462,83.20701760409246,6.6897267975314785,5.3765009827735675
18063,"Hendricks County, Indiana",163799,81933,5.004492250867254,3.6049772949870893,84.249598593398,6.7112741836030745,3.903564734827441
18053,"Grant County, Indiana",66452,44356,17.996746685069255,7.1811566449636155,84.91843736832601,6.971949677963041,4.282790585685909
18071,"Jackson County, Indiana",44025,51250,14.628112674741534,4.340590764110387,88.13628620102214,1.074389551391255,7.0096536059057355
18119,"Owen County, Indiana",20835,49543,15.393625848016008,5.4209806602852115,96.14590832733381,0.2255819534437245,1.2574994000479962
18183,"Whitley County, Indiana",33730,61741,9.656188014666105,3.6082474226804124,95.42543729617552,0.40616661725466946,2.0575155647791283
18023,"Clinton County, Indiana",32273,54286,12.465382778927264,3.8685576801316954,82.13986924054163,0.6692901186750535,15.858457534161683
18161,"Union County, Indiana",7113,50375,7.378110168272688,1.4513788098693758,95.41684240123718,0.0562350625615071,1.7714044706874736
18029,"Dearborn County, Indiana",49479,68658,9.121122599704579,3.7179636759615757,96.13573435194729,0.8306554295761839,1.30560439782534
18093,"Lawrence County, Indiana",45548,53610,12.415258977514263,4.380029261155816,95.68367436550453,0.3951874945112848,1.6707649073504873
18123,"Perry County, Indiana",19102,52348,11.930735930735931,3.0457440648523453,94.10532928489164,2.8897497644225734,1.3925243430007328
18129,"Posey County, Indiana",25560,64196,8.93140050697085,4.12092160197928,95.93896713615024,1.4593114241001566,1.1932707355242567
18015,"Carroll County, Indiana",20074,54806,9.627876529533209,3.1033412640943414,93.91750523064661,1.1607053900567899,4.054996512902262
18045,"Fountain County, Indiana",16430,52874,11.121397272110103,4.341807198590486,95.3134510042605,0.22519780888618382,2.519780888618381
18149,"Starke County, Indiana",22952,51190,14.830230010952903,4.961013645224171,94.23143952596723,0.8626699198326944,3.7861624259323805
18055,"Greene County, Indiana",32159,51613,14.267254963756697,4.776773850651076,96.61681022419852,0.35137908517055877,1.4552691315028452
19011,"Benton County, Iowa",25636,67729,8.809031642550485,2.9902032460886097,96.0290216882509,0.5188016851302856,1.5056951162427836
19061,"Dubuque County, Iowa",96982,63031,11.416009865422765,3.873005002948506,90.74879874615908,3.509929677672145,2.469530428326906
19151,"Pocahontas County, Iowa",6797,52448,10.736334889323897,3.26150262085032,92.86449904369574,0.5884949242312785,3.8252170075033103
19177,"Van Buren County, Iowa",7150,48591,12.821964336258137,5.21901211556384,96.33566433566433,0.43356643356643354,1.5804195804195804
19003,"Adams County, Iowa",3670,49255,14.079822616407982,3.9035591274397246,98.03814713896458,0.05449591280653951,1.335149863760218
19009,"Audubon County, Iowa",5571,52055,11.666974340040612,1.7579445571331982,96.57153114342128,0.03590019745108598,0.5744031592173757
19051,"Davis County, Iowa",8920,63404,9.882727997267448,3.0233094853450266,96.81614349775785,0.04484304932735426,1.468609865470852
19093,"Ida County, Iowa",6901,58427,9.612817089452603,2.568444820773356,95.3485002173598,0.6086074481959136,2.448920446312129
19135,"Monroe County, Iowa",7807,58269,10.532482749641973,3.934010152284264,96.25976687588062,0.025618035096708083,0.9862943512232611
19167,"Sioux County, Iowa",34827,69844,6.295749523282279,2.690909090909091,86.90096764004939,0.35030292589083184,10.747408619749045
19025,"Calhoun County, Iowa",9744,52323,12.566548358473824,2.3097826086956523,94.24261083743842,1.5394088669950738,1.9499178981937602
19033,"Cerro Gordo County, Iowa",42834,53963,10.14651839832005,3.97004069616417,90.59392071718729,1.7346033524770041,4.8699631134145775
19083,"Hardin County, Iowa",17061,54196,9.648960454068726,1.7700138824618232,91.84690229177657,1.2308774397749254,4.354961608346521
19117,"Lucas County, Iowa",8583,55205,11.79902369329682,3.4053546265852512,97.49504835139228,0.08155656530350693,2.0039613188861702
19147,"Palo Alto County, Iowa",9003,52932,6.393537218695903,1.4414802065404475,93.3466622237032,2.310340997445296,2.8101743863156727
19087,"Henry County, Iowa",19941,53501,10.711569799022271,5.488675780452969,88.04473195927987,2.2265683767112985,4.8844090065693795
19099,"Jasper County, Iowa",36971,58952,9.037272366256312,3.7738870502829083,93.45703389142842,1.9934543290687294,2.345081279922101
19157,"Poweshiek County, Iowa",18388,53852,9.922015596880623,3.98,91.64672612573418,1.925168588209702,3.2031759843376113
19043,"Clayton County, Iowa",17625,53152,11.52556095304187,2.4267153441425964,95.92624113475178,0.9645390070921985,1.9234042553191488
19017,"Bremer County, Iowa",24864,70395,7.388213123179716,2.2944976609489864,95.0530888030888,0.8807915057915058,1.5765765765765767
19063,"Emmet County, Iowa",9438,51563,12.416146875367778,3.5743464052287583,87.07353252807798,1.9813519813519813,9.747827929646112
19081,"Hancock County, Iowa",10802,61761,10.027355909819828,2.1995150675441635,93.16793186446954,1.5922977226439547,4.406591371968154
19097,"Jackson County, Iowa",19401,55967,13.094489838675885,3.6726869135304208,95.47446007937735,0.47420236070305655,1.4689964434822946
19111,"Lee County, Iowa",34227,49564,14.181762825391992,6.945857014657493,90.81134776638326,2.7638998451514887,3.614105822888363
19181,"Warren County, Iowa",50076,77048,8.166019558582315,2.9846901221846016,94.19881779694863,0.46529275501238115,2.8416806454189634
19123,"Mahaska County, Iowa",22164,54825,13.67366810404785,3.8796102992345163,93.18715033387475,1.3309871864284426,2.2378632015881608
19041,"Clay County, Iowa",16211,50521,10.850809244914668,4.204558875634818,93.22682129418297,0.28992659305409907,3.6888532477947074
19055,"Delaware County, Iowa",17183,63750,9.179768003297415,1.9798835362625729,96.57219344701159,0.2095093988244195,1.5538613746144445
13005,"Bacon County, Georgia",11201,37519,23.755375059722887,4.509530450953045,73.51129363449692,15.186144094277296,8.25819123292563
13025,"Brantley County, Georgia",18756,38857,19.63882618510158,5.802950180907319,92.1571763702282,3.3002772446150566,2.2339518020899978
13017,"Ben Hill County, Georgia",17033,32229,29.615153337342154,5.808236017209588,55.83866611871074,36.611283978160046,6.111665590324664
13033,"Burke County, Georgia",22520,44151,22.157277100849782,4.3504901960784315,47.269094138543515,48.0639431616341,3.2326820603907636
13047,"Catoosa County, Georgia",66700,56235,9.875869594871096,4.164751310103889,90.94602698650675,2.052473763118441,3.0164917541229386
13053,"Chattahoochee County, Georgia",10560,47096,19.801703672671415,11.275489804078369,57.57575757575758,19.876893939393938,15.861742424242424
13055,"Chattooga County, Georgia",24812,36807,19.382737729388005,5.632195830308059,82.76640335321619,10.30146703208125,5.150733516040625
13073,"Columbia County, Georgia",150705,82339,7.46110183639399,4.542487744587482,68.67124514780531,16.58538203775588,6.697853422248764
13087,"Decatur County, Georgia",26682,41481,24.348406343224998,5.200771845998346,50.20987931939135,42.04707293306349,6.082752417360018
13115,"Floyd County, Georgia",97369,48336,18.38959476731073,5.4071823705450255,70.76379545851348,13.871971572060923,11.06717743840442
13117,"Forsyth County, Georgia",228383,107218,5.685718680642538,3.242843827932792,71.70411107656875,3.317672506272358,9.49545281391347
13137,"Habersham County, Georgia",44626,50563,15.086533005485153,3.0812180116838133,77.29350602787612,3.1909649083493927,14.787343700981491
13147,"Hart County, Georgia",25773,43204,15.119748407386501,5.640976359792427,74.80696853296085,19.23718620261514,3.647227718930664
13185,"Lowndes County, Georgia",115364,42441,24.399460188933872,6.5230985695302115,53.779341909087755,36.36142990881037,5.664678755937728
13191,"McIntosh County, Georgia",14174,49504,17.64874346674304,6.038086391082211,62.0996190207422,35.41696063214336,0.28220685762664033
13199,"Meriwether County, Georgia",21106,37121,22.90753098188751,6.16207417742123,56.34890552449541,39.742253387662274,2.198426987586468
13207,"Monroe County, Georgia",27171,54754,13.894744911648587,6.978080617354897,72.4080821464061,23.201207169408562,2.322328953663833
13237,"Putnam County, Georgia",21691,51606,16.104781471796787,4.165826104498689,65.6862293116961,26.204416578304365,6.35286524364944
13261,"Sumter County, Georgia",30064,36681,27.096612475828977,8.48311124883793,39.37932410856839,52.122139435870146,5.691192123469931
13265,"Taliaferro County, Georgia",1611,37446,21.104903786468032,7.286821705426356,32.774674115456236,62.07324643078833,3.972687771570453
13301,"Warren County, Georgia",5297,37203,26.837672281776417,4.815481548154816,37.49292052104965,61.110062299414764,0.4719652633566169
19185,"Wayne County, Iowa",6429,44768,17.202597814034533,1.6859852476290833,96.08026131591227,0.29553585316534453,1.5865608959402706
19163,"Scott County, Iowa",172446,61183,12.066924706745736,3.846591167508073,79.97344096122845,7.452767822970669,6.720944527562251
20181,"Sherman County, Kansas",5938,54754,11.506276150627615,3.5538005923000986,83.61401145166722,0.7073088582014146,12.158976086224317
20193,"Thomas County, Kansas",7810,60124,11.964769647696476,2.2181146025878005,90.03841229193341,2.1382842509603073,6.530089628681178
20127,"Morris County, Kansas",5566,55658,8.993068223276177,2.404881550610194,91.57384117858426,0.1976284584980237,5.012576356449874
20163,"Rooks County, Kansas",5053,49415,7.815713698066639,3.067243413291388,94.12230358203048,1.7415396793983773,2.513358400949931
20025,"Clark County, Kansas",2026,53348,10.895140664961637,1.4955134596211366,89.73346495557749,0.3455083909180652,5.528134254689043
20077,"Harper County, Kansas",5594,49865,16.07208532548731,5.763116057233704,90.15016088666428,0.12513407222023595,6.131569538791562
20111,"Lyon County, Kansas",33251,46338,16.946149465291402,5.4400611120205165,71.10162100387959,2.22850440588253,21.229436708670416
20145,"Pawnee County, Kansas",6629,49917,6.36609558160505,2.426657008330315,84.13033640066375,4.404887615024891,7.708553326293559
20033,"Comanche County, Kansas",1740,54821,10.52315093205051,3.039832285115304,96.03448275862068,0.0,3.793103448275862
20063,"Gove County, Kansas",2644,48317,10.00386249517188,1.6042780748663101,92.92738275340393,0.11346444780635401,3.40393343419062
20079,"Harvey County, Kansas",34503,57982,9.58308157099698,3.314227342375575,82.76671593774455,1.5129119207025477,11.88592296322059
20093,"Kearny County, Kansas",3907,52599,19.607329842931936,2.181603773584906,66.85436396211928,0.3839262861530586,31.71231123624264
20113,"McPherson County, Kansas",28567,59089,8.765086841330586,1.937190082644628,91.58469562782231,1.0816676584870655,4.218153813841146
05041,"Desha County, Arkansas",11709,31893,29.13958929035612,8.170658080096599,45.23016483047228,46.59663506704245,6.132035186608592
05049,"Fulton County, Arkansas",12231,35405,20.710009976720983,5.668671911152244,94.90638541411168,0.47420488921592674,1.6024854876952008
05061,"Howard County, Arkansas",13311,36059,19.390560562089508,6.8208284811179505,64.14243858462926,20.8774697618511,12.538501990834648
05051,"Garland County, Arkansas",98555,44777,18.617521036601104,5.484603214637837,82.06077824564964,8.173101313987114,5.634417330424636
05093,"Mississippi County, Arkansas",42126,39962,24.321371339775652,9.221600710962413,58.277548307458574,33.736884584342214,4.130465745620282
05115,"Pope County, Arkansas",63761,43462,18.842143710984196,6.3792560450712115,84.00746537852292,2.9265538495318455,9.019620143975157
05117,"Prairie County, Arkansas",8189,42660,14.790674354474806,7.058189655172414,84.65014043228722,12.41909879106118,1.7340334595188667
05139,"Union County, Arkansas",39449,44663,19.088158367095748,4.967997561718988,60.5211792440873,32.657355066034626,3.9975664782377245
05147,"Woodruff County, Arkansas",6533,32845,25.213270142180093,7.849947898575895,69.38619317312107,28.14939537731517,0.45920710240318385
05023,"Cleburne County, Arkansas",25100,44483,13.960448093177499,4.313943779571389,94.67330677290836,0.3904382470119522,2.4262948207171315
05025,"Cleveland County, Arkansas",8128,46684,18.393814690110986,5.495523309663477,84.57185039370079,12.795275590551181,1.2426181102362204
05067,"Jackson County, Arkansas",17027,34109,24.356020942408378,7.510013351134846,76.83091560462795,12.204146355787866,2.889528396076819
05057,"Hempstead County, Arkansas",21842,42860,22.692272010390575,4.605195073993584,54.60580532918231,29.97893965754052,12.819338888380186
05135,"Sharp County, Arkansas",17139,34671,22.24269075350606,4.320591069707677,93.43602310519867,0.7176614738316122,2.2813466363265067
05137,"Stone County, Arkansas",12475,38188,19.829959514170042,6.274591012632015,94.65330661322645,0.08817635270541083,1.9478957915831663
05143,"Washington County, Arkansas",232289,50451,16.38912686513886,4.777255237280889,70.89358514608956,3.5757181786481493,16.780389945283677
