state,psychiatrists,population,psychiatrists_per_100k,year
New Hampshire,217.0,1395231.0,15.55,2022
New Jersey,1292.0,9261699.0,13.95,2022
New Mexico,252.0,2113344.0,11.92,2022
New York,5084.0,19677151.0,25.84,2022
North Carolina,1279.0,10698973.0,11.95,2022
North Dakota,86.0,779261.0,11.04,2022
Ohio,1183.0,11756058.0,10.06,2022
Oklahoma,295.0,4019800.0,7.34,2022
Oregon,546.0,4240137.0,12.88,2022
Pennsylvania,1821.0,12972008.0,14.04,2022
Puerto Rico,413.0,3221789.0,12.82,2022
Rhode Island,269.0,1093734.0,24.59,2022
South Carolina,529.0,5282634.0,10.01,2022
South Dakota,90.0,909824.0,9.89,2022
Tennessee,617.0,7051339.0,8.75,2022
Texas,2494.0,30029572.0,8.31,2022
U.S. Virgin Islands,2.0,,,2022
Utah,247.0,3380800.0,7.31,2022
Vermont,161.0,647064.0,24.88,2022
Virginia,1049.0,8683619.0,12.08,2022
Washington,862.0,7785786.0,11.07,2022
West Virginia,189.0,1775156.0,10.65,2022
Wisconsin,616.0,5892539.0,10.45,2022
Wyoming,36.0,581381.0,6.19,2022
,,,,2022
,,,,2022
Note: Blank cells indicate that data are not available.,,,,2022
Alabama,338.0,5108468.0,6.62,2023
Alaska,73.0,733406.0,9.95,2023
Arizona,682.0,7431344.0,9.18,2023
Arkansas,274.0,3067732.0,8.93,2023
California,6204.0,38965193.0,15.92,2023
Colorado,689.0,5877610.0,11.72,2023
Connecticut,885.0,3617176.0,24.47,2023
Delaware,110.0,1031890.0,10.66,2023
District of Columbia,334.0,678972.0,49.19,2023
Florida,2172.0,22610726.0,9.61,2023
Georgia,1032.0,11029227.0,9.36,2023
Guam,5.0,169330.0,2.95,2023
Hawaii,237.0,1435138.0,16.51,2023
Idaho,97.0,1964726.0,4.94,2023
Illinois,1575.0,12549689.0,12.55,2023
Indiana,458.0,6862199.0,6.67,2023
Iowa,231.0,3207004.0,7.2,2023
Kansas,268.0,2940546.0,9.11,2023
Kentucky,379.0,4526154.0,8.37,2023
Louisiana,547.0,4573749.0,11.96,2023
Maine,201.0,1395722.0,14.4,2023
Maryland,1184.0,6180253.0,19.16,2023
Massachusetts,2107.0,7001399.0,30.09,2023
Michigan,1070.0,10037261.0,10.66,2023
Minnesota,629.0,5737915.0,10.96,2023
Mississippi,174.0,2939690.0,5.92,2023
Missouri,673.0,6196156.0,10.86,2023
Montana,90.0,1132812.0,7.94,2023
Nebraska,178.0,1978379.0,9.0,2023
Nevada,226.0,3194176.0,7.08,2023
New Hampshire,205.0,1402054.0,14.62,2023
New Jersey,1272.0,9290841.0,13.69,2023
New Mexico,253.0,2114371.0,11.97,2023
New York,5161.0,19571216.0,26.37,2023
North Carolina,1258.0,10835491.0,11.61,2023
North Dakota,85.0,783926.0,10.84,2023
Ohio,1190.0,11785935.0,10.1,2023
Oklahoma,295.0,4053824.0,7.28,2023
Oregon,533.0,4233358.0,12.59,2023
Pennsylvania,1852.0,12961683.0,14.29,2023
Puerto Rico,408.0,3205691.0,12.73,2023
Rhode Island,273.0,1095962.0,24.91,2023
South Carolina,549.0,5373555.0,10.22,2023
South Dakota,93.0,919318.0,10.12,2023
Tennessee,605.0,7126489.0,8.49,2023
Texas,2557.0,30503301.0,8.38,2023
U.S. Virgin Islands,2.0,,,2023
Utah,262.0,3417734.0,7.67,2023
Vermont,168.0,647464.0,25.95,2023
Virginia,1044.0,8715698.0,11.98,2023
Washington,856.0,7812880.0,10.96,2023
West Virginia,180.0,1770071.0,10.17,2023
Wisconsin,607.0,5910955.0,10.27,2023
Wyoming,33.0,584057.0,5.65,2023
,,,,2023
,,,,2023
Note: Blank cells indicate that data are not available.,,,,2023
Alabama,,5157699.0,,2024
Alaska,,740133.0,,2024
Arizona,,7582384.0,,2024
Arkansas,,3088354.0,,2024
California,,39431263.0,,2024
Colorado,,5957493.0,,2024
Connecticut,,3675069.0,,2024
Delaware,,1051917.0,,2024
District of Columbia,,702250.0,,2024
Florida,,23372215.0,,2024
Georgia,,11180878.0,,2024
Guam,,169532.0,,2024
Hawaii,,1446146.0,,2024
Idaho,,2001619.0,,2024
Illinois,,12710158.0,,2024
